business_id,business_name,business_address,business_city,business_latitude,business_longitude,business_location
32671,La Taqueria Guadalajara,3146 24th St,San Francisco,37.752512,-122.415109,POINT (-122.415109 37.752512)
58922,Naples Pizzarella,1192 GENEVA Ave,San Francisco,37.714324,-122.436512,POINT (-122.436512 37.714324)
3165,HAN IL KWAN,1802 BALBOA St,San Francisco,37.776599,-122.478292,POINT (-122.478292 37.776599)
33160,Mission Bay Cafe,550 Terry Francois St,San Francisco,37.770518,-122.386525,POINT (-122.386525 37.770518)
2145,FRINGALE,570 04th St,San Francisco,37.778657,-122.397009,POINT (-122.397009 37.778657)
8948,SEGAFREDO,33 Powell St,San Francisco,37.784858,-122.407764,POINT (-122.407764 37.784858)
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,San Francisco,37.755693,-122.40665,POINT (-122.40665 37.755693)
57698,China Fun Express,211 Kearny St,San Francisco,37.790055,-122.403915,POINT (-122.403915 37.790055)
943,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,San Francisco,37.768776,-122.429095,POINT (-122.429095 37.768776)
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,37.752118,-122.422914,POINT (-122.422914 37.752118)
99036,"Sodexo America, LLC # 42422001",222 02nd St 3rd Floor,San Francisco,,,
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,37.784848,-122.406892,POINT (-122.406892 37.784848)
884,House of Nanking,919 Kearny St,San Francisco,37.796463,-122.405224,POINT (-122.405224 37.796463)
2336,Ristorante Ti Piacera,1507 Polk St,San Francisco,37.790645,-122.420765,POINT (-122.420765 37.790645)
1426,SWEET DELIGHT BAKERY,4476A MISSION,San Francisco,37.726117,-122.433817,POINT (-122.433817 37.726117)
99761,VELO ROUGE CAFE,798 ARGUELLO Blvd,San Francisco,,,
5144,POPEYES CHICKEN & BISCUIT,599 DIVISADERO St,San Francisco,37.774873,-122.437804,POINT (-122.437804 37.774873)
38798,K's Kitchen,757 Monterey Blvd,San Francisco,37.731503,-122.45237,POINT (-122.45237 37.731503)
5838,HARVEY MILK ELEMENTARY SCHOOL,4235 19th St,San Francisco,37.759173,-122.436488,POINT (-122.436488 37.759173)
488,The House,1230 Grant Ave,San Francisco,37.798519,-122.407071,POINT (-122.407071 37.798519)
3838,CAFE PICARO,3120 16th St,San Francisco,37.764908,-122.422442,POINT (-122.422442 37.764908)
59988,The Little Chihuahua,292 Divisadero St,San Francisco,37.771987,-122.437147,POINT (-122.437147 37.771987)
94706,Agricole II,355 11th St suite 100,San Francisco,,,
64667,Jasmine Rae Bakery,1890 Bryant St #309,San Francisco,37.763156,-122.410351,POINT (-122.410351 37.763156)
60331,Sunflower Potrero Hill,288 CONNECTICUT St,San Francisco,37.762647,-122.397545,POINT (-122.397545 37.762647)
39776,Duc Loi Supermarket,2200 MISSION St,San Francisco,37.761637,-122.419385,POINT (-122.419385 37.761637)
87631,Truly Mediterranean,3109 16th St.,San Francisco,,,
5124,PIZZA HUT #758280,728 GEARY St,San Francisco,37.786477,-122.415454,POINT (-122.415454 37.786477)
64076,The Sycamore,2140 MISSION St,San Francisco,37.762789,-122.419495,POINT (-122.419495 37.762789)
2519,PACIFIC PLAZA CAFE,1340 FRANKLIN St,San Francisco,37.786864,-122.423218,POINT (-122.423218 37.786864)
190,COURTYARD BY MARRIOTT-STAFF KITCHEN,299 02nd St,San Francisco,37.785614,-122.396693,POINT (-122.396693 37.785614)
63121,Sodini's Restaurant,510 Green St,San Francisco,37.799697,-122.407614,POINT (-122.407614 37.799697)
4416,Sweetie's,475 Francisco St,San Francisco,37.804685,-122.412971,POINT (-122.412971 37.804685)
63653,SFDH - Scala's Bistro Restaurant,450 Powell St 1st Floor,San Francisco,37.788918,-122.408507,POINT (-122.408507 37.788918)
32625,Korean Village Restaurant,4611 GEARY Blvd,San Francisco,37.780712,-122.4687,POINT (-122.4687 37.780712)
2426,BOOGALOOS,3296 22nd St,San Francisco,37.755357,-122.420652,POINT (-122.420652 37.755357)
2234,Kam Lok Restaurant,834 Washington St,San Francisco,37.795118,-122.407083,POINT (-122.407083 37.795118)
1075,"SANDWICH PLACE, THE",2029 MISSION St,San Francisco,37.764384,-122.419566,POINT (-122.419566 37.764384)
100560,TAKOYAKI YAMACHAN,1737 POST STREET  #375,San Francisco,,,
63121,Sodini's Restaurant,510 Green St,San Francisco,37.799697,-122.407614,POINT (-122.407614 37.799697)
2854,SANRAKU,101 04th St 1/F,San Francisco,37.784548,-122.40419,POINT (-122.40419 37.784548)
13218,"LESLIE A. HENNESSY, INC.",545 02nd St,San Francisco,37.782504,-122.392843,POINT (-122.392843 37.782504)
792,Boudin Bakery,Pier 39  Front,San Francisco,37.791924,-122.398588,POINT (-122.398588 37.791924)
38072,6001 California Market,6001 California St,San Francisco,37.783984,-122.481969,POINT (-122.481969 37.783984)
7645,LUCKY PORK MARKET,2659 MISSION St,San Francisco,37.754513,-122.418626,POINT (-122.418626 37.754513)
33442,Miller's East Coast Deli,1725 Polk St,San Francisco,37.792784,-122.421164,POINT (-122.421164 37.792784)
999,SERRANO'S PIZZA II,3274 21st St,San Francisco,37.756997,-122.420534,POINT (-122.420534 37.756997)
63413,Mymy,1500 California St,San Francisco,37.790798,-122.419214,POINT (-122.419214 37.790798)
35805,Hard Knox Cafe,2448 Clement,San Francisco,37.782008,-122.485732,POINT (-122.485732 37.782008)
97776,"SMITH & LORING, INC.",2 Clement St,San Francisco,,,
61285,Cocola,3251 20th Ave 186,San Francisco,37.728497,-122.475639,POINT (-122.475639 37.728497)
1243,JAVA SUPREME,0703 GUERRERO St,San Francisco,37.759934,-122.423553,POINT (-122.423553 37.759934)
3495,Ryoko's,619 Taylor St,San Francisco,37.788134,-122.411817,POINT (-122.411817 37.788134)
2893,FOREIGN CINEMA,2534 MISSION St,San Francisco,37.756417,-122.418884,POINT (-122.418884 37.756417)
5521,AT&T - (J-2A) BEN & JERRY'S,24 Willie Mays Pl,San Francisco,,,
2233,The AA Bakery & Cafe,1068 Stockton St,San Francisco,37.795564,-122.40809,POINT (-122.40809 37.795564)
827,TAQUERIA EL FAROLITO NO. 2,4817 MISSION St,San Francisco,37.721251,-122.437385,POINT (-122.437385 37.721251)
37688,Peet's Coffee & Tea,370 04th St,San Francisco,37.781127,-122.400109,POINT (-122.400109 37.781127)
3858,HUNAN RESTAURANT,110 NATOMA St,San Francisco,37.786944,-122.399199,POINT (-122.399199 37.786944)
7661,DONA TERE'S MARKET,2780 21st St,San Francisco,37.757578,-122.410392,POINT (-122.410392 37.757578)
57630,The Dry Dock,2118 Greenwich St,San Francisco,37.799048,-122.435353,POINT (-122.435353 37.799048)
5791,NEW SUNSET ELEMENTARY SCHOOL,1920 41st Ave,San Francisco,37.750928,-122.499814,POINT (-122.499814 37.750928)
2836,Hard Rock Cafe,Pier 39  Building Q1,San Francisco,37.80824,-122.410189,POINT (-122.410189 37.80824)
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,37.728497,-122.475639,POINT (-122.475639 37.728497)
403,HAAGEN-DAZS #561,865 MARKET St,San Francisco,37.784317,-122.407563,POINT (-122.407563 37.784317)
35591,The Monk's Kettle,3141 16TH St,San Francisco,37.764814,-122.422979,POINT (-122.422979 37.764814)
4672,IRVING SEAFOOD MARKET,2130 IRVING St,San Francisco,37.763428,-122.480921,POINT (-122.480921 37.763428)
5789,STEVENSON ELEMENTARY SCHOOL,2051 34th Ave,San Francisco,37.748853,-122.492255,POINT (-122.492255 37.748853)
2156,GOAT HILL PIZZA,300 CONNECTICUT St,San Francisco,37.762367,-122.397515,POINT (-122.397515 37.762367)
63757,Ajisen Ramen,865 Market St #STC-12,San Francisco,37.784317,-122.407563,POINT (-122.407563 37.784317)
2743,NOAH'S NEW YORK BAGELS #2147,2300 16 th St,San Francisco,37.765708,-122.409002,POINT (-122.409002 37.765708)
101184,NAMU STONEPOT,499 DOLORES ST,San Francisco,,,
7493,MR. PICKLE'S SANDWICH SHOP,3380 20th St,San Francisco,37.758817,-122.416522,POINT (-122.416522 37.758817)
3272,Cigar Bar and Grill,850 Montgomery St,San Francisco,37.797137,-122.403586,POINT (-122.403586 37.797137)
4478,AFC Sushi @ Safeway #1490,2300 16th St,San Francisco,37.765708,-122.409002,POINT (-122.409002 37.765708)
34221,"Campton Place SF, A Taj Hotel-Restaurant",340 Stockton St,San Francisco,37.789128,-122.406847,POINT (-122.406847 37.789128)
59828,Tip Top Market,84 Turk St,San Francisco,37.783268,-122.410553,POINT (-122.410553 37.783268)
5854,Gateway High/Kip Schools,1430 Scott St,San Francisco,37.783427,-122.437747,POINT (-122.437747 37.783427)
2933,Castagnola's Restaurant,286 Jefferson St,San Francisco,37.808098,-122.417194,POINT (-122.417194 37.808098)
64835,Jane,2123 Fillmore St,San Francisco,37.789404,-122.433954,POINT (-122.433954 37.789404)
3578,Neiman Marcus - Rotunda,150 Stockton St,San Francisco,37.787108,-122.406409,POINT (-122.406409 37.787108)
